0, 256, 512, 1312797.000000, 657841.000000, 15121.000000, 168638.921875, 130873.000000, 116995.000000, 223163.843750
0, 32, 32, 104700.000000, 24132.000000, 9991.000000, 12252.000000, 33556.000000, 12322.000000, 12271.000000
0, 32, 64, 144560.000000, 42030.000000, 10096.000000, 14667.000000, 45350.000000, 14131.000000, 18102.000000
0, 32, 128, 144923.015625, 54088.000000, 9156.000000, 16733.000000, 30404.000000, 12274.000000, 22097.000000
0, 32, 256, 209354.000000, 93738.000000, 10420.000000, 24815.000000, 31972.000000, 12567.000000, 35671.000000
0, 32, 512, 345286.031250, 172446.343750, 13299.000000, 39945.000000, 44439.000000, 12758.000000, 62221.000000
0, 32, 1024, 580986.000000, 327977.218750, 12384.000000, 70407.000000, 42327.000000, 12630.000000, 115091.000000
0, 64, 32, 122330.000000, 20235.000000, 9200.000000, 12462.000000, 57023.000000, 12514.000000, 10744.000000
0, 64, 64, 139896.984375, 36532.000000, 11560.000000, 17252.000000, 40719.000000, 16650.000000, 16994.000000
0, 64, 128, 179999.015625, 55076.000000, 9471.000000, 22310.000000, 54606.000000, 15819.000000, 22546.000000
0, 64, 256, 249440.984375, 94790.000000, 13385.000000, 36116.000000, 52128.000000, 16787.000000, 36073.000000
0, 64, 512, 358881.000000, 171922.375000, 11054.000000, 59637.000000, 38780.000000, 15854.000000, 61469.000000
0, 64, 1024, 1019873.000000, 627749.187500, 11973.000000, 109783.000000, 34834.000000, 22262.000000, 213097.406250
0, 128, 32, 124352.000000, 20292.000000, 9332.000000, 12667.000000, 54678.000000, 16358.000000, 10852.000000
0, 128, 64, 155484.000000, 35618.000000, 9850.000000, 16030.000000, 55592.000000, 22162.000000, 16061.000000
0, 128, 128, 188312.984375, 55611.000000, 10276.000000, 22640.000000, 54386.000000, 22604.000000, 22608.000000
0, 128, 256, 254087.015625, 94589.000000, 11212.000000, 35519.000000, 54350.000000, 22600.000000, 35639.000000
0, 128, 512, 597521.000000, 323200.875000, 12089.000000, 60317.000000, 54962.000000, 35089.000000, 111691.000000
0, 128, 1024, 1058913.000000, 629827.125000, 14578.000000, 110294.000000, 54920.000000, 35239.000000, 213878.046875
0, 256, 32, 212572.984375, 20916.000000, 9535.000000, 19394.000000, 127756.000000, 23749.000000, 11056.000000
0, 256, 64, 253079.015625, 35225.000000, 10684.000000, 29069.000000, 127478.000000, 34637.000000, 15816.000000
